"flow" "river"
12.0522807340987 "B"
11.0451351654333 "B"
10.5965552984179 "B"
7.4943820528096 "B"
17.6996662760116 "A"
13.5221138359061 "B"
14.5195913877124 "B"
7.71799122826946 "B"
15.5468173513934 "A"
16.3635975143083 "A"
15.0807326507896 "B"
11.4165271681777 "B"
14.745048052744 "B"
16.1747538777658 "A"
12.44226481637 "B"
13.0161405497657 "B"
17.370736127926 "B"
12.7723454478246 "B"
6.75735740372834 "B"
7.83544905764433 "B"
12.1316494885636 "A"
13.4789698308343 "A"
14.3043736052102 "A"
19.0334993852266 "A"
12.7966176708034 "A"
11.1244408545734 "B"
14.136462872252 "A"
10.3677374378952 "B"
14.3699487488507 "A"
14.5496527464088 "A"
13.6111359009978 "B"
13.373663966676 "A"
13.4363524505093 "A"
15.0698847765464 "A"
15.5014498603236 "A"
12.4451534523232 "A"
13.6482837268697 "B"
13.1848780490627 "A"
13.8943389476893 "B"
12.2426972351012 "B"
5.40977620030831 "B"
16.7562344188257 "B"
16.058155218399 "A"
11.2152184817555 "B"
13.6951764433812 "A"
12.6049053660038 "B"
14.6817884111672 "B"
10.3173627919824 "B"
14.1146620541063 "B"
9.28907509621611 "B"
7.14629395896099 "B"
11.9661984576397 "A"
13.3440046664579 "A"
5.87063171813015 "B"
14.3284501882077 "A"
12.3034472049861 "B"
13.7875199639418 "A"
13.3622756487133 "A"
12.0440656107771 "A"
17.4229612949252 "A"
12.0640997219997 "B"
12.5872235008016 "A"
13.952771644666 "B"
12.7902808727616 "A"
12.1331349843972 "B"
14.60448729656 "B"
9.97262336182764 "A"
11.6848094011738 "A"
14.9437857561041 "B"
11.9133285672015 "A"
13.1687915561575 "A"
14.9514015074492 "B"
12.0176541333816 "A"
13.5045188324154 "A"
16.0874106197424 "B"
13.6898720302838 "B"
10.3069684938371 "B"
17.5643427337665 "A"
12.9839989161244 "A"
11.7594301642055 "A"
14.547675349216 "B"
14.6709665357967 "A"
13.1092529211591 "A"
10.34440534383 "B"
13.1654213332877 "A"
10.3553590554834 "B"
14.8189723820567 "A"
12.7840529264943 "B"
13.2591686234955 "A"
16.8826144871136 "A"
16.6532936830867 "B"
12.7379606183109 "B"
11.9887853428102 "B"
15.3728612497108 "B"
10.0687103683156 "A"
15.0116099834458 "A"
16.4661885543814 "A"
12.2875902675377 "A"
13.2709417053429 "A"
15.6929660047064 "B"
15.2805860631666 "A"
14.3013668238951 "B"
12.6562205639899 "B"
16.4204812503477 "A"
14.825894236238 "A"
13.6374829110929 "A"
15.4584988215314 "A"
14.3075695543588 "A"
13.866696039482 "B"
8.59107339026248 "B"
17.3565606383093 "A"
13.4080674738732 "B"
8.18081519478367 "B"
11.0235434855923 "B"
15.609096337005 "A"
15.0678891082485 "B"
15.204701222615 "A"
14.5492835692492 "A"
12.6573663133675 "A"
13.4464685712155 "B"
9.77724575916308 "B"
13.4497083716738 "B"
21.8615081312989 "B"
12.194818608934 "B"
9.65121837863568 "B"
11.6222894599612 "A"
9.13169620709601 "B"
14.1428036298158 "A"
12.1314380658121 "B"
11.3813232669121 "B"
14.1400876073984 "A"
16.1049153102795 "A"
14.8686334366978 "B"
9.64742976358129 "B"
12.3585713172352 "A"
14.0935261103981 "B"
11.8805960135945 "B"
10.3866772793308 "B"
12.2560577636564 "A"
11.7833523614416 "B"
9.79068182183829 "B"
13.6776106042533 "B"
11.9271312290029 "B"
12.8792969418927 "A"
9.17760619779842 "B"
8.41489436239829 "B"
17.5227079721534 "A"
7.31878314262365 "B"
14.4351696569119 "A"
10.8881688069634 "B"
16.156927212171 "A"
11.7256770165971 "B"
13.665153615448 "B"
14.5293674285789 "A"
17.0086131661054 "A"
13.6819155393651 "A"
14.2915665792118 "B"
17.2416245350229 "A"
11.9602236907411 "A"
14.0919965944452 "B"
12.8406896714092 "B"
12.9046725561949 "A"
14.9815573675464 "A"
12.2455714041065 "B"
9.3582719315794 "B"
12.1239335464104 "B"
14.5394631440149 "A"
14.2526424837333 "A"
14.3101076768904 "B"
15.7054185567065 "A"
16.6385995437615 "B"
13.0657921258506 "A"
8.0034425786115 "B"
11.596570858971 "B"
11.915484886406 "B"
11.6572803534633 "B"
15.3319776171142 "A"
17.887763653536 "A"
12.0696496641478 "B"
12.2820196770519 "A"
15.6824811948112 "B"
11.1597990171086 "A"
10.0273500280999 "B"
18.2250085664494 "A"
14.7051573184358 "A"
14.1260448717317 "A"
10.4672260942147 "A"
12.6002028874305 "A"
6.8435816290505 "B"
13.9056050108309 "B"
13.6513386287243 "A"
12.4533824634362 "B"
10.3609301034148 "B"
11.7808464054148 "B"
10.9925275912426 "B"
11.8076960840886 "B"
9.58286460071811 "B"
12.0119327839139 "B"
11.7686690933438 "A"
10.3295149143988 "B"
11.5362445781463 "B"
15.4888635926549 "A"
14.0648036365497 "A"
13.5002201184687 "B"
16.3959346941962 "B"
11.5167611260973 "B"
11.7701301386991 "B"
13.4444540676375 "A"
13.4006160310979 "A"
15.0845692657036 "A"
9.90645351491465 "B"
14.7975047166618 "B"
13.135696976249 "B"
13.6240752688306 "A"
11.2962392324288 "B"
13.2742722124657 "B"
14.5693924565184 "A"
15.2540362749881 "A"
15.6791942638364 "B"
6.63649905616264 "B"
